"Scenario","start_RS","end_RS","mean_setback","DS_diff","dist_US","Width","Area","rel_area","L","Run","Flood"
"SB1_25yr_10km_16xBFW_NA",166.69,160.54,-0.444207317073169,0.00576420530688924,19891.4424,1.54311635914211,24.0919746727447,15.612545696903,9.89535000000001,"SB1",25
"SB1_25yr_10km_2xBFW_NA",166.69,160.54,-0.114058265582663,0.00328832752613289,8449.035,1.54311635914211,3.33580048136523,2.16172971117989,9.89535000000001,"SB1",25
"SB1_25yr_10km_4xBFW_NA",166.69,160.54,-0.187720189701898,0.00489982578397239,10042.2816,1.54311635914211,6.22577497383108,4.03454667364961,9.89535000000001,"SB1",25
"SB1_25yr_10km_8xBFW_NA",166.69,160.54,-0.318038617886177,0.00635302197802284,19891.4424,1.54311635914211,12.23129616841,7.92636024882141,9.89535000000001,"SB1",25
"SB1_25yr_15km_16xBFW_NA",166.69,158.03,-0.653240740740739,0.012080041222948,20519.085,1.4076653209159,36.342362948493,25.8174740888315,13.93394,"SB1",25
"SB1_25yr_15km_2xBFW_NA",166.69,158.03,-0.175440379403793,0.00456458261765741,10042.2816,1.4076653209159,4.80747719008604,3.41521320348933,13.93394,"SB1",25
"SB1_25yr_15km_4xBFW_NA",166.69,158.03,-0.301411472448058,0.00831758845757568,12504.5718,1.4076653209159,9.31248437514516,6.6155528851744,13.93394,"SB1",25
"SB1_25yr_15km_8xBFW_NA",166.69,158.03,-0.477630984643177,0.0116463414634144,19891.4424,1.4076653209159,18.3224166745477,13.0161739458255,13.93394,"SB1",25
"SB1_25yr_1km_16xBFW_NA",166.69,166.3,-0.0176829268292806,-0.000308889602053597,0,1.62675915229611,1.54799116077521,0.951579807367473,0.627509999999978,"SB1",25
"SB1_25yr_1km_2xBFW_NA",166.69,166.3,-0.0173780487805004,-0.000328947368420716,0,1.62675915229611,0.193498236128831,0.118947070840644,0.627509999999978,"SB1",25
"SB1_25yr_1km_4xBFW_NA",166.69,166.3,-0.0176829268292806,-0.000308889602053597,0,1.62675915229611,0.38699822596301,0.237895219717544,0.627509999999978,"SB1",25
"SB1_25yr_1km_8xBFW_NA",166.69,166.3,-0.0176829268292806,-0.000308889602053597,0,1.62675915229611,0.773994730106224,0.475789380999491,0.627509999999978,"SB1",25
"SB1_25yr_5km_16xBFW_NA",166.69,163.85,-0.177371273712743,0.00400673510756614,10669.9242,1.40328934832317,9.30702310069667,6.63229084708573,4.56956000000001,"SB1",25
"SB1_25yr_5km_2xBFW_NA",166.69,163.85,-0.060298102981035,0.00182354672072264,6292.51939999999,1.40328934832317,1.50438052996808,1.07203872940795,4.56956000000001,"SB1",25
"SB1_25yr_5km_4xBFW_NA",166.69,163.85,-0.0872628726287322,0.00274962401098642,8449.035,1.40328934832317,2.61904938294902,1.86636447150304,4.56956000000001,"SB1",25
"SB1_25yr_5km_8xBFW_NA",166.69,163.85,-0.138177506775075,0.00376315961551113,10042.2816,1.40328934832317,4.84836737375989,3.45500190645168,4.56956000000001,"SB1",25
"SB2_25yr_10km_16xBFW_NA",74.4,68.18,-0.294882404181186,0.0052296599608331,19408.6404,1.95081633989819,44.466653149273,22.793869540581,10.00798,"SB2",25
"SB2_25yr_10km_2xBFW_NA",74.4,68.18,-0.152482578397212,0.00295531422467593,8416.84819999998,1.95081633989819,6.67883310047068,3.42360937002364,10.00798,"SB2",25
"SB2_25yr_10km_4xBFW_NA",74.4,68.18,-0.205618466898955,0.00416147409649295,14612.8072,1.95081633989819,12.077096637589,6.19079120396297,10.00798,"SB2",25
"SB2_25yr_10km_8xBFW_NA",74.4,68.18,-0.264176829268294,0.00516512373152884,19408.6404,1.95081633989819,22.8736229396263,11.7251544760077,10.00798,"SB2",25
"SB2_25yr_15km_16xBFW_NA",74.4,65.66,-0.399282639885223,0.00584501274117313,19408.6404,2.46620925618723,68.7146663129207,27.8624638767084,14.06266,"SB2",25
"SB2_25yr_15km_2xBFW_NA",74.4,65.66,-0.159666427546627,0.00312841281397975,9124.95779999998,2.46620925618723,9.59875168045795,3.89210755590856,14.06266,"SB2",25
"SB2_25yr_15km_4xBFW_NA",74.4,65.66,-0.236961979913919,0.00455951947579176,16270.4274,2.46620925618723,18.0438883284492,7.31644660045802,14.06266,"SB2",25
"SB2_25yr_15km_8xBFW_NA",74.4,65.66,-0.324892395982783,0.00565617036767398,19408.6404,2.46620925618723,34.9341592235244,14.1651237160356,14.06266,"SB2",25
"SB2_25yr_1km_16xBFW_NA",74.4,74.28,0.0153963414634148,-0.000486986413488235,0,1.80136897389482,2.7377681219168,1.51982639958395,0.193080000000007,"SB2",25
"SB2_25yr_1km_2xBFW_NA",74.4,74.28,-0.00213414634146147,-0.000597479129154213,0,1.80136897389482,0.342221163739446,0.189978382385212,0.193080000000007,"SB2",25
"SB2_25yr_1km_4xBFW_NA",74.4,74.28,0.00670731707317884,-0.00044401702406274,0,1.80136897389482,0.684442327478893,0.379956764770424,0.193080000000007,"SB2",25
"SB2_25yr_1km_8xBFW_NA",74.4,74.28,0.0149390243902516,-0.000329431985594533,0,1.80136897389482,1.36888480345763,0.759913611978066,0.193080000000007,"SB2",25
"SB2_25yr_5km_16xBFW_NA",74.4,71.788,-0.158231707317071,0.00215973051338877,14612.8072,1.91926902212748,19.4966624682098,10.1583791763585,4.20270800000001,"SB2",25
"SB2_25yr_5km_2xBFW_NA",74.4,71.788,-0.0560594512195145,0.00128986866791667,2446.19679999999,1.91926902212748,3.07557518136434,1.60247216305045,4.20270800000001,"SB2",25
